,source
m.DMS153,Minna
m.NCIH60,Minna
m.NCIH69,Minna
m.NCIH82,Minna
m.NCIH128,Minna
m.NCIH146,Minna
m.NCIH187,Minna
m.NCIH209,Minna
m.NCIH211,Minna
m.NCIH250,Minna
m.NCIH345,Minna
m.NCIH378,Minna
m.NCIH446,Minna
m.NCIH510,Minna
m.NCIH524,Minna
m.NCIH526,Minna
m.NCIH711,Minna
m.NCIH735,Minna
m.NCIH738,Minna
m.NCIH740,Minna
m.NCIH748,Minna
m.NCIH774,Minna
m.NCIH841,Minna
m.NCIH865,Minna
m.NCIH889,Minna
m.NCIH1048,Minna
m.NCIH1092,Minna
m.NCIH1184,Minna
m.NCIH1238,Minna
m.NCIH1339,Minna
m.NCIH1417,Minna
m.NCIH1436,Minna
m.NCIH1450,Minna
m.NCIH1514,Minna
m.NCIH1522,Minna
m.NCIH1607,Minna
m.NCIH1628,Minna
m.NCIH1672,Minna
m.NCIH1688,Minna
m.NCIH1694,Minna
m.NCIH1836,Minna
m.NCIH1870,Minna
m.NCIH1876,Minna
m.NCIH1882,Minna
m.NCIH1926,Minna
m.NCIH1930,Minna
m.NCIH1963,Minna
m.NCIH1994,Minna
m.NCIH2029,Minna
m.NCIH2081,Minna
m.NCIH2107,Minna
m.NCIH2108,Minna
m.NCIH2141,Minna
m.NCIH2171,Minna
m.NCIH2195,Minna
m.NCIH2196,Minna
m.NCIH2198,Minna
m.NCIH2227,Minna
m.NCIH2679,Minna
m.NCIH3282,Minna
m.HCC33,Minna
m.HCC970,Minna
m.HCC2433,Minna
m.HCC4000,Minna
m.HCC4001,Minna
m.HCC4003,Minna
m.HCC4004,Minna
m.HCC4005,Minna
m.SHP77,Minna
m.HCC4002,Minna
c.COLO668,CCLE
c.CORL24,CCLE
c.CORL279,CCLE
c.CORL311,CCLE
c.CORL47,CCLE
c.CORL88,CCLE
c.CORL95,CCLE
c.DMS114,CCLE
c.DMS153,CCLE
c.DMS273,CCLE
c.DMS454,CCLE
c.DMS53,CCLE
c.DMS79,CCLE
c.HCC33,CCLE
c.NCIH1048,CCLE
c.NCIH1092,CCLE
c.NCIH1105,CCLE
c.NCIH1184,CCLE
c.NCIH1339,CCLE
c.NCIH1341,CCLE
c.NCIH1436,CCLE
c.NCIH146,CCLE
c.NCIH1618,CCLE
c.NCIH1694,CCLE
c.NCIH1836,CCLE
c.NCIH1876,CCLE
c.NCIH1930,CCLE
c.NCIH1963,CCLE
c.NCIH196,CCLE
c.NCIH2029,CCLE
c.NCIH2066,CCLE
c.NCIH2081,CCLE
c.NCIH209,CCLE
c.NCIH211,CCLE
c.NCIH2171,CCLE
c.NCIH2196,CCLE
c.NCIH2227,CCLE
c.NCIH2286,CCLE
c.NCIH446,CCLE
c.NCIH510,CCLE
c.NCIH524,CCLE
c.NCIH526,CCLE
c.NCIH69,CCLE
c.NCIH82,CCLE
c.NCIH841,CCLE
c.NCIH889,CCLE
c.SBC5,CCLE
c.SCLC21H,CCLE
c.SHP77,CCLE
c.SW1271,CCLE
t.S00022,Tumor
t.S00035,Tumor
t.S00050,Tumor
t.S00213,Tumor
t.S00356,Tumor
t.S00472,Tumor
t.S00501,Tumor
t.S00825,Tumor
t.S00827,Tumor
t.S00829,Tumor
t.S00830,Tumor
t.S00831,Tumor
t.S00832,Tumor
t.S00836,Tumor
t.S00837,Tumor
t.S00838,Tumor
t.S01242,Tumor
t.S01248,Tumor
t.S01297,Tumor
t.S01366,Tumor
t.S01453,Tumor
t.S01494,Tumor
t.S01512,Tumor
t.S01524,Tumor
t.S01542,Tumor
t.S01556,Tumor
t.S01563,Tumor
t.S01578,Tumor
t.S01698,Tumor
t.S01728,Tumor
t.S01792,Tumor
t.S01861,Tumor
t.S01864,Tumor
t.S01873,Tumor
t.S02065,Tumor
t.S02093,Tumor
t.S02120,Tumor
t.S02139,Tumor
t.S02163,Tumor
t.S02194,Tumor
t.S02209,Tumor
t.S02234,Tumor
t.S02241,Tumor
t.S02242,Tumor
t.S02243,Tumor
t.S02244,Tumor
t.S02246,Tumor
t.S02248,Tumor
t.S02249,Tumor
t.S02255,Tumor
t.S02256,Tumor
t.S02284,Tumor
t.S02285,Tumor
t.S02286,Tumor
t.S02287,Tumor
t.S02288,Tumor
t.S02289,Tumor
t.S02290,Tumor
t.S02291,Tumor
t.S02293,Tumor
t.S02294,Tumor
t.S02295,Tumor
t.S02296,Tumor
t.S02297,Tumor
t.S02298,Tumor
t.S02299,Tumor
t.S02322,Tumor
t.S02328,Tumor
t.S02342,Tumor
t.S02347,Tumor
t.S02350,Tumor
t.S02351,Tumor
t.S02352,Tumor
t.S02353,Tumor
t.S02354,Tumor
t.S02360,Tumor
t.S02375,Tumor
t.S02376,Tumor
t.S02378,Tumor
t.S02382,Tumor
t.S02397,Tumor
