"depmapId","cellLineDisplayName","lineage","primaryDisease","level0","level1","level2","level3","level4","level5","crispr","rnai","wgs","wes","rna_seq","prismOncRefSeq","prismOncRefLum","prismRepurposing"
"ACH-000719","RMGI","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","OVARY","OVT","CCOV","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000819","LN18","CNS/Brain","Adult-Type Diffuse Glioma","BRAIN","DIFG","ADIFG","GB","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000139","PANC0327","Pancreas","Pancreatic Adenocarcinoma","PANCREAS","PAAD","","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000950","LOVO","Bowel","Colorectal Adenocarcinoma","BOWEL","COADREAD","COAD","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000227","KPNYN","Peripheral Nervous System","Neuroblastoma","PNS","NBL","","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000244","DKMG","CNS/Brain","Adult-Type Diffuse Glioma","BRAIN","DIFG","ADIFG","GB","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000264","CALU6","Lung","Non-Small Cell Lung Cancer","LUNG","NSCLC","LUAD","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000219","A375","Skin","Melanoma","SKIN","MEL","","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000699","HCC1395","Breast","Invasive Breast Carcinoma","BREAST","BRCA","IDC","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000749","DMS273","Lung","Lung Neuroendocrine Tumor","LUNG","LNET","SCLC","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000827","WM793","Skin","Melanoma","SKIN","MEL","","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000324","JHOC5","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","OVARY","OVT","CCOV","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000532","SNU61","Bowel","Colorectal Adenocarcinoma","BOWEL","COADREAD","READ","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000977","LNCAPCLONEFGC","Prostate","Prostate Adenocarcinoma","PROSTATE","PRAD","","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000630","YD8","Head and Neck","Head and Neck Squamous Cell Carcinoma","HEAD_NECK","HNSC","OCSC","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000701","RMUGS","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","OVARY","OVT","MOV","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000666","NCIH1355","Lung","Non-Small Cell Lung Cancer","LUNG","NSCLC","LUAD","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000769","LK2","Lung","Non-Small Cell Lung Cancer","LUNG","NSCLC","LUSC","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000533","NCIH2004RT","Kidney","Rhabdoid Cancer","KIDNEY","MRT","","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000411","769P","Kidney","Renal Cell Carcinoma","KIDNEY","RCC","CCRCC","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000365","SUDHL4","Lymphoid","Mature B-Cell Neoplasms","LYMPH","LNM","NHL","MBN","DLBCLNOS","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000900","NCIH23","Lung","Non-Small Cell Lung Cancer","LUNG","NSCLC","LUAD","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000684","KMRC1","Kidney","Renal Cell Carcinoma","KIDNEY","RCC","CCRCC","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000012","HCC827","Lung","Non-Small Cell Lung Cancer","LUNG","NSCLC","LUAD","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000155","SW1990","Pancreas","Pancreatic Adenocarcinoma","PANCREAS","PAAD","","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000258","DU4475","Breast","Invasive Breast Carcinoma","BREAST","BRCA","","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000627","LCLC103H","Lung","Non-Small Cell Lung Cancer","LUNG","NSCLC","LCLC","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000207","DETROIT562","Head and Neck","Head and Neck Squamous Cell Carcinoma","HEAD_NECK","HNSC","OPHSC","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000188","SCC25","Head and Neck","Head and Neck Squamous Cell Carcinoma","HEAD_NECK","HNSC","OCSC","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000676","LN464","Skin","Melanoma","SKIN","MEL","","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000551","K562","Myeloid","Myeloproliferative Neoplasms","MYELOID","MNM","MPN","CML","CMLBCRABL1","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000781","NCIH2023","Lung","Non-Small Cell Lung Cancer","LUNG","NSCLC","LUAD","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000593","BC3C","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","BLADDER","BLCA","","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000001","NIHOVCAR3","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","OVARY","OVT","SOC","HGSOC","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000488","TE11","Esophagus/Stomach","Esophageal Squamous Cell Carcinoma","STOMACH","ESCC","","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000210","CADOES1","Bone","Ewing Sarcoma","BONE","ES","ES:EWSR1-ERG","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000030","PC14","Lung","Non-Small Cell Lung Cancer","LUNG","NSCLC","LUAD","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-001656","SKNO1","Myeloid","Acute Myeloid Leukemia","MYELOID","MNM","AML","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000054","HT1080","Soft Tissue","Fibrosarcoma","SOFT_TISSUE","FIBS","","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000466","SNU216","Esophagus/Stomach","Esophagogastric Adenocarcinoma","STOMACH","EGC","STAD","TSTAD","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000888","NCIH1793","Lung","Non-Small Cell Lung Cancer","LUNG","NSCLC","LUAD","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000607","KYM1","Kidney","Rhabdoid Cancer","KIDNEY","MRT","","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000035","NCIH1650","Lung","Non-Small Cell Lung Cancer","LUNG","NSCLC","","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000662","CORL23","Lung","Non-Small Cell Lung Cancer","LUNG","NSCLC","LCLC","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000657","A2780","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","OVARY","OVT","EOV","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000855","KYSE150","Esophagus/Stomach","Esophageal Squamous Cell Carcinoma","STOMACH","ESCC","","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000740","A253","Head and Neck","Head and Neck Squamous Cell Carcinoma","HEAD_NECK","HNSC","OCSC","","","","True","True","True","True","True","Undefined","Undefined","True"
"ACH-000978","EN","Uterus","Endometrial Carcinoma","UTERUS","UCEC","","","","","True","True","True","True","True","Undefined","Undefined","True"
