k,esv,delta_esv
2,0.23924432552038116,
3,0.40163679865313784,0.16239247313275668
4,0.503766914558157,0.10213011590501919
5,0.5763499672347993,0.07258305267664222
6,0.628945897477033,0.052595930242233746
7,0.6690761250961871,0.04013022761915408
8,0.7243980925146953,0.055321967418508255
9,0.7541350564644325,0.029736963949737127
10,0.7779930758508593,0.023858019386426843
11,0.7942389859534986,0.016245910102639316
12,0.8118514815542279,0.017612495600729305
13,0.8403532231875938,0.02850174163336583
14,0.8644650271788767,0.024111803991282987
15,0.878805224266966,0.014340197088089202
