pc,explained_variance_ratio,cumulative
1,0.11643137404504886,0.11643137404504886
2,0.08944532867381917,0.20587670271886804
3,0.046880283462932576,0.25275698618180065
4,0.04100525560415957,0.2937622417859602
5,0.03367812747198556,0.3274403692579458
6,0.026970925786347445,0.35441129504429325
7,0.024811629420312478,0.3792229244646057
8,0.02274654215384764,0.40196946661845334
9,0.01927633859023454,0.4212458052086879
10,0.01852872039276432,0.4397745256014522
11,0.01682957196096769,0.4566040975624199
12,0.01620601369891366,0.47281011126133354
