,arc1,arc2,arc3,arc4,arc5
A1BG,4.277808649032589,3.1556579525893387,4.120826731977479,4.030390478819424,1.6951567232754026
A2M,0.25021691683234304,0.40583970073893844,0.11553725007206411,0.865308098063581,0.3610538263322985
A2ML1,0.020495904015346553,0.0015163231997718934,0.10241538104185038,0.11145960770155816,0.12305308372144699
A4GALT,1.348770836024301,2.122540283897016,0.6051349043891027,2.3642728238269415,1.0997997740951204
AAAS,5.706801148604371,5.24877587720474,5.150346655872847,5.793441762871986,6.007428431681581
AACS,4.335299699815125,5.949756722350873,4.7133722665000395,3.8562535682511863,5.03870429358088
AADAC,-0.027728506206225398,0.07098199660900983,0.015284615474264122,0.60350659285711,-0.14224534686111695
AADACL2,0.00726753820442691,0.010032294568788902,0.11162322645862752,-0.16385692775720345,1.0072630997208007
AADAT,2.8816439571495587,2.263066436527218,3.701292271112397,2.3476541806266233,4.077660460432336
AAGAB,4.930451544156441,5.323541525790972,5.576369623141765,5.5445013190447465,5.062709322002598
AAK1,2.8436897164534924,2.8012151712346505,3.4218358999971143,3.6919828885089827,2.551048460452289
AAMP,6.2102442820731305,6.35654017759068,5.97847110260912,6.565064338235394,6.616485358635804
AANAT,1.885285511401381,-0.12345219471117674,0.00906075497491321,0.18797165116880496,0.28299721638121855
AARS,6.511697413855199,6.459506764366348,6.212090748534024,6.606632199046835,6.3640395309915405
AARS2,3.373107218435244,3.2147531950883375,3.279680755224054,3.2032564182968843,3.709208223712567
AASDH,2.941862800675361,2.720268346463418,2.7868726932613543,2.57232753803009,2.8551617245759835
AASDHPPT,5.50620256449095,5.130054949661325,5.132486857247873,4.8945461810441,6.499840745850472
AASS,1.5128745307731248,1.3038088180792868,2.594737126732678,1.9085623238985023,3.849089147918849
AATF,6.220663464504634,5.077210086830032,5.408622676649408,5.935238771174765,5.927245598482793
AATK,2.403029576174285,0.9608059240017252,1.586733467312446,0.5062598793563267,2.456399011308669
ABAT,2.5135164626079933,3.7290507435721802,4.369281197030256,0.6442509559546186,0.9191073181576779
ABCA1,0.9762611454552078,0.7812491820099453,0.4666541982816632,1.9080343430674116,0.031081292191446286
ABCA10,0.7675470133134501,0.6443711698160682,0.19399455683552025,0.1136120304387353,0.18941145830004227
ABCA12,0.0787938490234833,0.7468425727573944,0.2953573254494868,0.3391793023479962,0.8341403531308076
ABCA13,0.08383116329823936,0.6911451618567303,0.08913584640011712,0.1536918109570055,-0.14742067864262312
ABCA2,4.42945399712552,4.608938299465215,3.1235795277574425,3.7264386919627315,3.7204481479141083
ABCA3,4.537769364498665,5.132056057945203,3.4573100108900987,3.0007569380737986,3.7757688721157634
ABCA4,0.8275613642222932,0.09926710175734124,0.050491466584177025,0.2340978252455105,0.26911324784344287
ABCA5,4.71414119834118,4.467385549502957,3.0949736857590255,1.4161006983717535,2.893869673339365
ABCA6,0.1794007416266113,0.20875682111115912,0.011055263571094445,0.02672391247535541,-0.009312190567616063
ABCA7,2.2481870167654603,3.7543052446254745,2.35070787634448,3.0913931349269044,2.864284235103148
ABCA8,0.4108479961549985,0.3375293026284528,0.020633886610657598,0.3074146825414288,-0.03798720090137392
ABCA9,0.1844091450945236,0.1739650424114234,0.014789301136859473,0.034576453176339936,-0.001119732074440341
ABCB1,0.2011237042022927,2.0823356199227008,-0.10378289240922856,0.4824759264207751,0.32360113464624024
ABCB10,3.499739679981567,3.48244441130008,3.5991965723914445,3.7041839287081775,3.819142591902266
ABCB4,0.2334677615205592,0.4292769442735722,0.44208488006111063,0.26461933481673294,0.07897911417815784
ABCB6,4.752674684559668,4.866924678005023,3.6919990360025396,4.615372796480102,4.539096743799478
ABCB7,5.197096247751254,4.361754328889729,4.2601178091570855,4.185656086975424,4.74868461154486
ABCB8,3.6624408918106726,4.319640256363831,3.5586144679837286,4.469994661714237,4.163827090050573
ABCB9,2.8254692048587176,2.475673854210096,2.0660123600681897,2.248919817158835,4.369336224668264
ABCC1,4.45092794474099,3.553954616817953,3.1348004065008723,4.671262335148079,3.420563228072177
ABCC10,2.6606949023090114,3.2735642271723435,2.5736141086687474,3.623650405679673,2.810781903950326
ABCC3,0.3777695955767065,1.7450521724315653,-0.253321860896605,2.8010542860674397,0.11793506176844126
ABCC4,3.313724159479478,1.7618950497595811,1.87536622558181,3.454621065944902,3.57743055787959
ABCC5,4.818903336761355,4.777160567831786,4.473375608974359,4.346083948101929,4.742056158301838
ABCC6,0.6942073997661061,1.811685159672384,0.2338563709053858,0.8407990643819458,1.138714842996543
ABCC8,2.387097594742766,3.0724885773378503,2.0561825998967813,-0.20625351992883711,2.444533825267132
ABCC9,1.2452911156152713,0.027177167215324732,-0.07534776393859971,0.2612752625228682,-0.10052618826973625
ABCD1,1.8965197974138985,2.984577408885311,1.8335980214961376,2.879127473500261,2.0740441023959537
ABCD2,1.2151630862752871,-0.1216631808745055,-0.07872916130807955,0.4596723306632251,-0.1354924292939198
ABCD3,4.780184989422587,5.2737975436943385,4.674523495061398,5.195855426269142,5.192881213058585
ABCD4,4.948504978821801,4.661431813916749,4.957954215558045,4.5952013779096195,5.011936639302297
ABCE1,5.892328117913241,5.274533339590797,5.177330520808102,6.017380972409933,6.251230919103352
ABCF1,6.044170538526166,6.035954304492706,5.938972103389042,6.52372019951608,6.427680224233629
ABCF2,5.307232624418792,4.673839547041075,4.87591946081123,5.677748292838551,5.413778818951
ABCF3,4.88431045390686,4.95483840033502,4.512920693308493,5.431587042769616,4.652720451758712
