n_components,ev_tumor_only,ev_combined_on_tumors,cum_tumor_only,cum_combined_on_tumors,ratio_combined_over_tumor
1,14.346147429321466,8.83785618309454,14.346147429321466,8.83785618309454,0.616043870079798
2,11.350166523423718,5.147930405267878,25.696313952745186,13.98578658836242,0.5442720934248351
3,6.495915264520483,12.751191589554754,32.19222921726567,26.736978177917173,0.8305413706354116
4,4.816186441757946,2.3849285284320354,37.00841565902361,29.121906706349208,0.7868995791298764
5,4.214516796261878,3.9007037385968575,41.22293245528549,33.02261044494607,0.8010737829184202
6,3.5312014454235423,1.7741273780628606,44.75413390070903,34.796737823008925,0.7775089090140487
7,2.9589616948869693,2.0736119218256484,47.713095595595995,36.87034974483457,0.7727511553083504
8,2.607382332355873,1.841235526463668,50.32047792795187,38.71158527129824,0.7693008267275387
9,2.23784405720004,2.336663321976903,52.55832198515191,41.04824859327514,0.7810037886078546
10,2.032986820378869,0.995635157109022,54.59130880553078,42.04388375038416,0.7701570940560523
11,1.944187399065608,1.8968345950770866,56.535496204596384,43.94071834546125,0.7772235373409322
12,1.7704383127055652,0.9058001021432629,58.30593451730195,44.84651844760451,0.7691587283331608
13,1.6868111128048986,0.9595512915493117,59.992745630106846,45.80606973915382,0.7635268107510391
14,1.6135337435983506,0.7790107346675396,61.6062793737052,46.58508047382136,0.7561742235922919
15,1.4300194323241249,0.6836068910534959,63.03629880602932,47.26868736487485,0.7498645742245525
16,1.3926351171800784,0.7164494084365963,64.4289339232094,47.985136773311446,0.7447762030410632
17,1.256090851782339,0.8148878577223557,65.68502477499173,48.8000246310338,0.7429398831499481
18,1.2193621612116927,0.9570609423739237,66.90438693620342,49.75708557340772,0.7437043795177962
19,1.1614164474318887,0.8603724968103542,68.06580338363531,50.61745807021808,0.7436547510491553
20,1.0932644261392466,0.9303398490776822,69.15906780977456,51.54779791929576,0.7453512540261609
