cell_line,CLDN7,CDH1,VIM,X1,X2,mu,category,pam50_subtype
ACH-000828,6.613415254321076,2.8653210310489325,2.204168894142574,6.613415254321076,-0.6611521369063587,0.08161994429975439,E,Her2
ACH-000117,7.838113479950185,7.994449613322404,3.0258314469111878,7.838113479950185,-4.968618166411217,3.6212321840034534e-06,E,Her2
ACH-000017,7.702027196176973,0.3702089280517689,2.068430054813963,7.702027196176973,1.698221126762194,0.6726782970257716,E/M,Her2
ACH-000276,7.000833817068485,7.030137407174372,7.7152275899549085,7.000833817068485,0.6850901827805362,0.42324653537714596,E,Basal
ACH-000554,8.045098900440257,7.895108697676736,1.7577316151080664,8.045098900440257,-6.13737708256867,2.765261327697388e-07,E,Her2
ACH-000818,7.261417982751914,9.034686183151749,2.0525897861589293,7.261417982751914,-6.982096396992819,1.5330994318496494e-07,E,LumB
ACH-000856,3.446475926350522,5.025795133433856,6.917336272743993,3.446475926350522,1.891541139310137,1.2658324548728077,E/M,Her2
ACH-000223,8.147311787283739,8.00286001124193,2.490369884853767,8.147311787283739,-5.512490126388164,8.189914906253648e-07,E,Basal
ACH-000019,8.007212323776285,8.668955876629637,1.4937856539283867,8.007212323776285,-7.17517022270125,3.808257231785461e-08,E,LumB
ACH-000330,7.3169874309485134,7.376142757960678,2.7005950769340186,7.3169874309485134,-4.675547681026659,1.306522966204593e-05,E,LumB
ACH-000643,7.992383237772987,7.257472704610907,6.194191482937139,7.992383237772987,-1.0632812216737682,0.006156669579573171,E,Basal
ACH-000573,0.558153977541707,0.2616379227240444,9.47321056255014,0.558153977541707,9.211572639826095,1.9999999679080187,M,Basal
ACH-000711,7.63762473569777,6.75619602074022,2.6421562709858293,7.63762473569777,-4.114039749754391,2.539191844919131e-05,E,Basal
ACH-000248,8.258330472612425,0.1198634383739746,2.210251695907039,8.258330472612425,2.0903882575330646,0.6753191153159497,E/M,Her2
ACH-000783,6.4956360083567,5.537687442886689,1.9745770344313136,6.4956360083567,-3.5631104084553753,0.00035319807602762765,E,LumB
ACH-000857,7.892366737913657,7.530507780648256,3.200932729214257,7.892366737913657,-4.3295750514339995,1.1769909945558155e-05,E,Basal
ACH-002499,7.46951972222491,6.317996809572959,8.843183031573433,7.46951972222491,2.5251862220004746,0.9294570160881994,E/M,Basal
ACH-000759,7.357516816505035,8.67697608338518,2.0137981051309604,7.357516816505035,-6.663177978254219,2.513502118661748e-07,E,LumB
ACH-000196,6.312777698221634,6.070878730689848,5.807470848251418,6.312777698221634,-0.26340788243842983,0.22578456363465382,E,Basal
ACH-000910,6.358837541546038,4.058515653428026,1.7347811436154692,6.358837541546038,-2.323734509812557,0.004806782852612268,E,Her2
ACH-000258,5.692410458801993,5.640360636448235,1.416169570606057,5.692410458801993,-4.224191065842177,0.0002882311365852708,E,LumB
ACH-000691,7.982115145120247,6.429562406083123,9.03333764873354,7.982115145120247,2.603775242650416,0.8895760459634144,E/M,Basal
ACH-000147,5.975577455235261,7.988025667674682,1.6202485691325077,5.975577455235261,-6.367777098542175,2.9373638259500012e-06,E,LumB
ACH-000930,3.9405332518516807,6.369738664585572,9.651098344741827,3.9405332518516807,3.281359680156255,1.737248141217054,M,Basal
