,weight_arc1,weight_arc2,weight_arc3,weight_arc4,weight_arc5,weight_arc6,weight_arc7,generalist_score
ACH-000570,0.0,0.07415710056532729,0.3822380399413812,0.018193820766654545,0.5254110387266367,0.0,0.0,0.49928586746565623
ACH-000075,0.48334622946603983,0.27915797020886957,0.0,0.0,0.23749580032509054,0.0,0.0,0.5390936856606721
ACH-000376,0.30335723523374875,0.0,0.10038634972733639,0.0,0.5471164481476031,0.04913996689131184,0.0,0.5502022501418189
ACH-000269,0.9546417427334565,0.0,0.0,0.0,0.0,0.04535825726654353,0.0,0.09487290095729638
ACH-001611,0.2252703955815701,0.44065992806102233,0.0,0.33406967635740753,0.0,0.0,0.0,0.5463478522360691
ACH-000098,0.5689297733728613,0.0,0.06590703319315215,0.18856164126234323,0.13968521565906947,0.03691633651257383,0.0,0.622554649731011
ACH-000887,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.519721569675556e-11
ACH-000368,0.07490181642194385,0.22599602414114836,0.0,0.34436247616370264,0.11071748765519972,0.0,0.24402219561800526,0.7632373815362204
ACH-000760,0.0,0.0,0.2535883874250381,0.0,0.3892527653738109,0.3571588472011509,0.0,0.5565139141070247
ACH-001610,0.015055590326047301,0.3211769715434263,0.0,0.11146344792755145,0.46380622324206483,0.05341539587616529,0.03508237108474475,0.6695402822699066
ACH-002680,0.0,0.8348710513292786,0.0,0.06706462103518815,0.09806432763553322,0.0,0.0,0.28758231728133543
ACH-000231,0.0,0.045529391448838906,0.0716252078274384,0.8020682682635607,0.0,0.0,0.08077713246016195,0.3646777535852244
ACH-003438,0.23785499840788565,0.48553665609988195,0.2766083454922324,0.0,0.0,0.0,0.0,0.5384968974548777
ACH-000738,0.39394907052863504,0.0,0.40740238407956925,0.0,0.0,0.19410259072767727,0.004545954664118395,0.5527129448654985
ACH-002681,0.0,0.7292037495319075,0.0,0.0,0.0,0.19966284242422352,0.07113340804386901,0.38027736675287116
ACH-000819,0.005922435804490449,0.0,0.0,0.0,0.7041616864882928,0.2899158777072167,0.0,0.3270051061668111
ACH-000571,0.0,0.0,0.0,0.0,0.7835921568381152,0.11950263578642384,0.096905207375461,0.3448999217229168
ACH-000102,0.0,0.0,0.0,0.9856864445016518,0.0,0.014313555498348174,0.0,0.03853920416669431
ACH-000634,0.06703118685895043,0.0,0.24704639842465806,0.0,0.5082066063390592,0.0,0.17771580837733233,0.6051555008717349
ACH-000137,0.0,0.0,0.0,0.6638648503023367,0.22194840044143674,0.11418674925622675,0.0,0.438790708209195
ACH-000445,0.03906353279788329,0.027571705359142752,0.0,0.7419852749272846,0.04208361371159047,0.10474738585014311,0.044548487353955855,0.49095656220380923
ACH-001609,0.1627887431961032,0.726543019569287,0.0,0.0,0.11066823723460964,0.0,0.0,0.3963262974545247
ACH-001329,0.0465204165909936,0.600990391082132,0.10099540809473256,0.23685919800625468,0.0,0.0,0.014634586225887126,0.5566784461082924
ACH-000027,0.0,0.0,0.6175671934874564,0.05376529741577335,0.02944692653756754,0.0,0.29922058255920264,0.4726051690404499
ACH-000370,0.0,0.0,0.6513055302156203,0.2791576601314075,0.0,0.0,0.0695368096529722,0.4218292197146146
ACH-000289,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.519721569675556e-11
ACH-000543,0.0,0.49088833830944134,0.0,0.22658792786787244,0.10244306484051091,0.0,0.1800806689821753,0.6309726251653857
ACH-001623,0.2513204341568901,0.3802897808299241,0.11103436479660507,0.028034354881155164,0.22932106533542562,0.0,0.0,0.7177650218452887
ACH-001624,0.0,0.31990820142329146,0.16701750985351013,0.0,0.0,0.3005537255810001,0.2125205631421984,0.6957919074875863
ACH-000244,0.0,0.3043516763692534,0.0,0.23764939012823003,0.1984394432342368,0.0,0.2595594902682797,0.7063824346781313
ACH-000215,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.519721569675556e-11
ACH-001608,0.0,0.48406066279823384,0.0,0.0,0.12806602668384046,0.3878733105179257,0.0,0.5045227850273385
ACH-000464,0.06647760653287783,0.46951024081840054,0.019271208743991887,0.0,0.3285228731410377,0.0052396729052262055,0.1109783978584658,0.6415952218456945
ACH-000622,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.519721569675556e-11
ACH-000558,0.19951250938965764,0.0,0.1713988992550477,0.3524840372022065,0.02286691425087791,0.0,0.2537376399022104,0.7327325487809438
ACH-000631,0.44048476897220046,0.0,4.5546044104112324e-05,0.041687495812150255,0.028848304540101483,0.0,0.4889338846314437,0.4862492833031949
ACH-000479,0.0,0.0,0.42733703427330494,0.46507181034438766,0.0,0.0,0.10759115538230729,0.49294253640302055
ACH-000863,0.08521991776513907,0.3158306597092875,0.3500726506344398,0.0,0.0,0.12839216275018353,0.12048460914095013,0.7502027843994711
ACH-000283,0.656399265903752,0.0,0.01959175985234025,0.24465395854368943,0.0,0.0,0.07935501570021836,0.46194572400289385
ACH-000623,0.0,0.19620838565385335,0.34002162212961823,0.25019350784386896,0.0,0.0,0.21357648437265947,0.7002876290599632
ACH-000609,0.23238816622217387,0.007999116173336325,0.0,0.31000536455880023,0.29889920565392947,0.06768685673175896,0.0830212906600011,0.7660548472501996
ACH-000504,0.0,0.001842530178697152,0.05229086789766108,0.5775559535821376,0.0681055403121384,0.0,0.3002051080293656,0.5278611822131128
